Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta
"Ardagh Metal Packaging","AMBP","2223.44","2","10.75","120",".55"
"AngloGold Ashanti PLC","AU","33217.42","1","4.04","1.81",".48"
"Banco De Chile","BCH","18334.6","2","4.32","2.22",".28"
"CNA Financial","CNA","12512.92","2","3.98","11.11",".5"
"Canadian Natural Resources Limited","CNQ","70766.84","1","5.04","1.14",".96"
"Digital Realty Trust","DLR","54132.41","2","3.1","2.06",".96"
"DANSKE BANK","DNKEY","36589.48","2","6.9","4.04",".72"
"First Hawaiian","FHB","2979.17","2","4.32","7.92",".91"
"Federated Hermes","FHI","3687.35","1","2.86","4.77",".83"
"Fulton Financial","FULT","3118.85","2","4.17","6.38",".88"
"HSBC","HSBC","232071.83","2","2.93","11.54",".64"
"IDACORP","IDA","6851.31","2","2.78","11.35",".59"
"Coca Cola Femsa","KOF","147075.08","2","4.11","1.56",".61"
"NBT Bancorp","NBTB","2090.51","2","3.7","1.55",".55"
"The Bank of N.T. Butterfield & Son Limited","NTB","2154.02","1","4.41","5.04",".68"
"OGE Energy","OGE","8890.43","2","3.85","20",".6"
"Omnicom Group","OMC","13800.25","2","3.92","1.97",".94"
"OMV","OMVKY","18307.64","1","4.15","5.71",".22"
"Plains Group","PAGP","3560.01","2","8.45","2.08",".7"
"Park National","PRK","2445.18","2","2.81","1.22",".76"
"Radian Group","RDN","4733.99","1","2.92","3.33",".81"
"Reynolds Consumer Products","REYN","4991.12","2","3.88","6.36",".58"
"Swedbank","SWDBY","33613.26","1","6.79","15.52",".7"
"Telefonica","TEF","23134.26","2","6.12","40",".48"
"TIM","TIMB","10816.15","1","4.25","7.69",".62"
"United Bankshares","UBSI","5021.3","2","4.14","3.21",".83"
"USA Compression Partners","USAC","2906.42","1","8.86","8.33",".36"
"VALE","VALE","54104.97","1","6.12","1.09",".82"
"Zions Bancorporation","ZION","7447.01","2","3.57","2.18",".96"
