Ticker,Company,Shares,LastPrice,Value,GainLoss$,GainLoss%,CostBasis,Account,TrailingStop%
SPAXX,SPAXX (Money Market),,,"27694.93",0.00,0.00,,Qualified Plan,
NVDA,NVIDIA CORPORATION COM,295,202.49,59734.55,7605.31,14.58,52129.24,Qualified Plan,
SBH,SALLY BEAUTY HOLDINGS INC,300,15.11,4533.00,558.00,14.03,3975.00,Qualified Plan,
IBKR,INTERACTIVE BROKERS GROUP INC,100,70.36,7036.00,736.00,11.68,6300.00,Qualified Plan,
XPER,XPERI INC,750,6.72,5040.00,352.50,7.52,4687.50,Qualified Plan,
CNQ,CANADIAN NATURAL RESOURCES LTD,218,32.02,6980.36,414.20,6.30,6566.16,Qualified Plan,
AMZN,AMAZON.COM INC,48,244.22,11722.56,634.56,5.72,11088.00,Qualified Plan,
KE,KIMBALL ELECTRONICS INC,250,29.08,7268.75,338.75,4.88,6930.00,Qualified Plan,
INVA,INNOVIVA INC,300,18.20,5460.00,207.00,3.94,5253.00,Qualified Plan,
IPG,INTERPUBLIC GROUP COS INC,250,25.66,6415.00,165.00,2.64,6250.00,Qualified Plan,
AU,ANGLOGOLD ASHANTI PLC,100,68.00,6800.00,-50.00,-0.73,6850.00,Qualified Plan,
ALL,ALLSTATE CORP,25,191.52,4788.00,-115.00,-2.35,4903.00,Qualified Plan,
DINO,HF SINCLAIR CORP,131,51.60,6759.60,-337.98,-4.77,7097.58,Qualified Plan,
MRMD,MARIMED INC,15858,0.12,1934.67,-259.33,-11.82,2194.00,Qualified Plan,
