Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Akebia Therapeutics","AKBA","2","2.12","562.11","116.16","100","87","4496107"
"Amylyx Pharmaceuticals","AMLX","2","13.6","1212.68","64.47","13.33","87","1625206"
"Byrna Technologies","BYRN","2","19.96","453.6","27.42","8","85","668289"
"CooperStandard","CPS","2","29.71","524","137.77","104.35","89","242056"
"Horizon Bancorp IN","HBNC","2","15.73","801.78","42.55","8.76","46","452568"
"Horace Mann Educators","HMN","2","44.25","1800.79","35.38","1.67","87","211432"
"Integra Resources","ITRG","2","2.83","478.51","275.29","22.22","81","2249100"
"Lexeo Therapeutics, Inc.","LXEO","2","9.04","488.17","25.24","9.88","87","1716536"
"MBX Biosciences, Inc.","MBX","2","20.61","692.37","53.69","9.4","95","957108"
"MiMedx Group","MDXG","2","7.52","1113.73","25.86","12.5","95","992401"
"Intellia Therapeutics","NTLA","2","13.07","1403.02","21.7","3.06","95","10705258"
"Oruka Therapeutics, Inc.","ORKA","2","26.19","1087.96","38.63","3.08","87","446783"
"Priority Technology","PRTH","2","6.96","556.23","107.84","7.14","85","456778"
"The Real Brokerage","REAX","2","3.69","781.54","67.86","16.67","85","1613520"
"Tango Therapeutics","TNGX","2","8.01","891.2","12.61","2.2","95","4192250"
"TriMas","TRS","2","36.12","1468.12","24.85","2.52","13","376941"
"Two Harbors Investments Corp","TWO","2","9.64","1004.06","118.18","7.69","96","1642620"
"WisdomTree, Inc.","WT","2","12","1765.29","24.21","11.89","78","3160687"
